sample	condition
E8.5-44-2	E8.5-44
E7.5-26-2	E7.5-26
E8.5-50-2	E8.5-50
E9.5-22-1	E9.5-22
E6.5-5-2	E6.5-5
E9.5-21-1	E9.5-21
E9.5-30-2	E9.5-30
E8.5-26-2	E8.5-26
E8.5-2-1	E8.5-2
E7.5-24-1	E7.5-24
E7.5-19-2	E7.5-19
E9.5-20-1	E9.5-20
E8.5-22-2	E8.5-22
E9.5-37-1	E9.5-37
E9.5-45-1	E9.5-45
E9.5-31-2	E9.5-31
E7.5-11-1	E7.5-11
E9.5-52-1	E9.5-52
E8.5-34-2	E8.5-34
E8.5-53-1	E8.5-53
E7.5-19-1	E7.5-19
E8.5-56-1	E8.5-56
E7.5-24-2	E7.5-24
E9.5-6-1	E9.5-6
E9.5-5-2	E9.5-5
E8.5-51-1	E8.5-51
E7.5-29-1	E7.5-29
E7.5-23-1	E7.5-23
E9.5-13-2	E9.5-13
E9.5-17-2	E9.5-17
E9.5-0-2	E9.5-0
E8.5-54-2	E8.5-54
E9.5-33-1	E9.5-33
E8.5-5-1	E8.5-5
E7.5-1-2	E7.5-1
E9.5-40-2	E9.5-40
E7.5-15-2	E7.5-15
E8.5-8-1	E8.5-8
E9.5-26-2	E9.5-26
E9.5-36-2	E9.5-36
E8.5-50-1	E8.5-50
E9.5-28-2	E9.5-28
E7.5-22-2	E7.5-22
E7.5-20-1	E7.5-20
E6.5-7-2	E6.5-7
E9.5-13-1	E9.5-13
E6.5-6-1	E6.5-6
E8.5-27-2	E8.5-27
E8.5-13-1	E8.5-13
E8.5-57-1	E8.5-57
E9.5-27-1	E9.5-27
E9.5-35-2	E9.5-35
E8.5-58-1	E8.5-58
E9.5-7-2	E9.5-7
E7.5-27-2	E7.5-27
E9.5-38-2	E9.5-38
E9.5-18-1	E9.5-18
E8.5-34-1	E8.5-34
E9.5-1-2	E9.5-1
E7.5-9-2	E7.5-9
E8.5-11-1	E8.5-11
E8.5-40-2	E8.5-40
E9.5-12-1	E9.5-12
E8.5-47-2	E8.5-47
E8.5-17-1	E8.5-17
E8.5-28-1	E8.5-28
E9.5-4-2	E9.5-4
E7.5-21-2	E7.5-21
E9.5-9-1	E9.5-9
E7.5-32-2	E7.5-32
E8.5-16-2	E8.5-16
E9.5-9-2	E9.5-9
E9.5-48-2	E9.5-48
E8.5-27-1	E8.5-27
E8.5-51-2	E8.5-51
